date,groundwater,soil_moisture,precipitation,temperature,water_risk
2010-01-01,2.669081355066109,24.392321139801975,4.98,9.03,low
2010-02-01,5.137645152446063,7.942576852011124,7.7,11.11,low
2010-03-01,4.679059623778514,16.07063913934292,0.74,11.61,low
2010-04-01,3.492101065278638,10.16782979172282,0.78,15.07,low
2010-05-01,4.116858587760521,12.025967725011345,1.43,19.92,low
2010-06-01,-0.4427115314184533,8.913328095495793,1.07,23.4,low
2010-07-01,-1.5960492333980216,11.19470987478175,0.07,26.86,high
2010-08-01,0.3492856370839288,11.259026959134008,0.01,28.95,medium
2010-09-01,-0.7614626114113978,2.579412007058925,0.4,23.77,medium
2010-10-01,3.7484968208428695,23.314468197363617,5.22,17.38,low
2010-11-01,5.79749611785049,14.790342041081864,0.76,16.85,low
2010-12-01,3.6710987631815586,13.385434912418336,4.53,11.93,low
2011-01-01,-4.575345872909986,17.808670758627155,4.41,7.82,low
2011-02-01,3.68012215132014,14.961012384515143,3.61,8.71,low
2011-03-01,8.552078745092317,6.6331689640238904,0.76,9.88,low
2011-04-01,4.244829495292481,17.69300380735964,1.86,12.68,low
2011-05-01,7.719466228779197,13.58003822547176,0.97,18.23,low
2011-06-01,7.871299113125462,22.703760875445013,0.73,23.24,low
2011-07-01,3.832517579942074,7.233818837977598,0.02,27.14,high
2011-08-01,4.040095435934557,20.04086797492182,0.0,26.55,medium
2011-09-01,-4.28043865251727,4.005884749497355,0.33,24.46,high
2011-10-01,-0.3734776329345797,6.5698147069779695,3.06,15.8,medium
2011-11-01,-2.2253132797454147,10.365645550355609,0.01,9.26,medium
2011-12-01,-1.3474072834283641,3.549443090462812,5.08,9.92,medium
2012-01-01,4.568620617431452,8.825252919645266,4.05,5.85,low
2012-02-01,9.252323972313611,2.97365911583854,4.3,6.81,low
2012-03-01,2.0743154881034007,17.323866201281803,1.16,9.87,low
2012-04-01,-0.2720525808818306,21.006809355573708,3.25,15.58,low
2012-05-01,6.0486159109245,11.978957613177453,1.9,19.43,low
2012-06-01,7.387103425987791,6.9300945305757695,0.18,25.38,high
2012-07-01,-1.5246819287578248,7.76104450323668,0.0,28.58,high
2012-08-01,1.9315347012324784,23.363795975043637,0.04,27.48,medium
2012-09-01,-0.9023729485234124,6.320482204942039,0.05,24.0,high
2012-10-01,3.5137687320850244,20.910893625108432,1.15,20.82,low
2012-11-01,2.3411123189157337,12.664985134677476,1.05,15.15,low
2012-12-01,3.994649733662227,22.056226043480898,5.96,9.96,low
2013-01-01,5.546514956386529,24.337748049218543,5.58,8.96,low
2013-02-01,3.0182886957866946,24.374308918368712,5.66,10.24,low
2013-03-01,0.4466500340003816,21.704700686341976,3.26,11.96,low
2013-04-01,2.5771490710496723,22.006670533432278,1.6,15.21,low
2013-05-01,0.7028816947315613,14.060803611197468,1.56,20.67,low
2013-06-01,2.6053297563314555,4.107445501515401,0.41,23.71,low
2013-07-01,4.624382808870314,24.778668070896796,0.03,26.41,medium
2013-08-01,6.632600913778954,7.974812138747884,0.24,27.47,medium
2013-09-01,7.463425711443333,18.202297897531004,0.34,22.97,low
2013-10-01,-3.269601245923405,17.691877424021786,2.47,16.43,low
2013-11-01,4.215934612114795,11.254795814588793,2.86,14.3,low
2013-12-01,2.2024295641716627,9.265987000303962,0.27,7.45,low
2014-01-01,4.47925024115169,23.55607817782998,2.39,11.26,low
2014-02-01,2.29818381875208,7.956461372876625,0.69,10.6,low
2014-03-01,4.869575363392374,3.5877062913104187,1.65,11.84,low
2014-04-01,-0.31318722040362945,11.968494412892188,3.33,15.65,low
2014-05-01,2.083960395711891,21.02741990424769,0.4,19.3,low
2014-06-01,3.646831611245368,18.960495079914068,1.26,23.5,low
2014-07-01,2.922754720486021,22.44329329402239,0.14,26.71,medium
2014-08-01,1.3688765543034416,17.44817632666475,0.17,27.88,medium
2014-09-01,1.5516414729521975,22.469212360081304,0.7,23.11,low
2014-10-01,-1.3831730501161954,12.60663055243457,1.43,18.21,low
2014-11-01,4.695239740493976,22.248708674754756,1.04,13.22,low
2014-12-01,4.632560819307662,6.180167625438333,6.55,12.1,low
2015-01-01,7.2134135148345955,4.88238558877263,4.55,8.11,low
2015-02-01,6.514194596678176,22.865136699494332,3.82,8.15,low
2015-03-01,4.089409690776064,21.113745177994875,3.19,10.69,low
2015-04-01,2.742130800934074,10.492506400304347,0.85,13.21,low
2015-05-01,2.509991868695907,12.42002000950334,1.25,19.86,low
2015-06-01,7.062235782379583,6.148026980326639,0.96,22.51,low
2015-07-01,0.5804318233432109,8.95372765684008,0.01,26.76,medium
2015-08-01,0.56697500757073,3.186999754875029,0.43,27.99,medium
2015-09-01,-0.8865587828239421,4.949534391939332,0.45,25.05,high
2015-10-01,2.6009820198743454,8.419058730866608,2.49,18.65,low
2015-11-01,7.864327543654208,10.476721114220865,2.86,14.83,low
2015-12-01,0.7330012384711511,16.040333480204023,0.0,7.93,low
2016-01-01,5.203318599490573,23.316775219597332,5.64,8.16,low
2016-02-01,7.514728175489504,22.101501440701036,2.33,12.32,low
2016-03-01,3.94540014634694,13.467453834318157,3.41,11.98,low
2016-04-01,4.601342167513545,12.324974068870189,0.38,17.03,low
2016-05-01,3.539129569895093,7.841903563685254,1.24,18.82,low
2016-06-01,1.025559690747246,10.825480394079824,0.38,25.46,low
2016-07-01,1.8262293619390633,10.389331302684823,0.0,27.47,medium
2016-08-01,4.752758194531932,7.057954794471067,0.03,28.02,high
2016-09-01,8.278052313245526,13.723436717582453,0.2,23.32,low
2016-10-01,-3.1678685367746495,8.13372875775617,0.15,18.07,medium
2016-11-01,-0.4497942213983377,9.72349204985119,3.59,13.16,low
2016-12-01,2.120853915019069,5.697425260959518,0.53,5.58,low
2017-01-01,7.203695511800941,20.58552072164526,7.68,5.79,low
2017-02-01,8.60057143362178,22.70275389361646,1.26,9.34,low
2017-03-01,3.5067410971709947,18.64780936230342,2.61,11.86,low
2017-04-01,4.8185890471542585,15.231404443489224,0.75,14.73,low
2017-05-01,0.7063642654339795,7.396830849434749,1.06,19.35,low
2017-06-01,11.761865293332193,9.695301265689109,0.28,24.85,low
2017-07-01,2.933972294898016,2.263429688350622,0.07,27.54,high
2017-08-01,6.358682386672351,6.789023334280719,0.13,27.36,high
2017-09-01,-1.3163302666189534,2.5998532068979743,0.05,24.03,high
2017-10-01,2.030429080323886,12.070534560029202,1.43,17.64,low
2017-11-01,10.555150600279749,13.100199437154563,2.27,13.41,low
2017-12-01,3.921248989117869,21.050653564294805,3.32,11.51,low
2018-01-01,-1.4671267831570338,18.49289568729229,3.15,8.9,low
2018-02-01,-5.6462513779612795,15.417995222591893,5.16,11.48,low
2018-03-01,-0.8687052624843306,14.943196631690357,1.34,13.86,low
2018-04-01,6.568595138542859,15.44794988470204,0.17,17.88,low
2018-05-01,0.1070572530393985,9.862300934376842,0.52,21.94,low
2018-06-01,6.977957116970716,4.535583338758398,1.43,24.69,medium
2018-07-01,11.849778622076464,6.7949565331322415,0.19,27.7,high
2018-08-01,7.917955318053934,14.086869438049849,0.23,28.17,medium
2018-09-01,8.47025518447825,8.49745412951365,1.14,24.4,low
2018-10-01,7.334594945748957,10.79726300062159,0.5,18.51,low
2018-11-01,0.10840625490914224,16.42905456818965,3.39,13.99,low
2018-12-01,3.941964695069448,13.23282453251145,3.01,8.41,low
2019-01-01,-0.674097168491647,15.482406464278538,11.39,8.67,low
2019-02-01,-4.44275520994128,13.812603899434677,2.65,8.84,low
2019-03-01,6.587166771673248,13.560052693245787,1.49,11.42,low
2019-04-01,-3.583161231835235,15.61309965578409,2.22,14.01,low
2019-05-01,8.543523944840759,7.2195162791471,0.3,19.4,low
2019-06-01,10.725019979985316,7.264705044925898,0.67,24.74,medium
2019-07-01,1.7121215850044278,2.285006911535969,0.36,26.28,medium
2019-08-01,7.044343102778264,10.931207292164231,0.0,27.66,medium
2019-09-01,7.337140860359122,3.5574552620760485,0.68,23.48,low
2019-10-01,9.822583712326084,10.431288803243756,0.7,19.99,low
2019-11-01,-4.670220460726489,21.669317401302237,2.48,16.96,low
